restaurant_name,address,neighborhood,private_dining_page_url,space_name,space_type,capacity_seated,capacity_standing,min_guests,amenities,pricing,event_contact_name,event_contact_email,event_contact_phone,menu_pdf_urls,source_urls,last_verified,notes
Vic & Anthony's Steakhouse,"1510 Texas Ave, Houston, TX 77002",Downtown,https://www.vicandanthonys.com/private-dining-houston/,The Ballroom,private,180,400,,Crystal chandeliers | Hand-carved millwork | Private second-floor balcony with downtown views | On-site audio/visual equipment | Customized or a la carte menus | Award-winning wine list | Valet parking | Handicap accessible | Personalized event planning,Private lunch $79/person; private dinner $99/person (incl. nonalcoholic beverages); $175 bartender staffing fee required for groups of 35+; menus exclude service charge and tax; prices subject to change,Katelynn Tejero,,(713) 228-1111,https://images.getbento.com/accounts/6416990472d31a0e805336f5e9b06eed/media/iOcdWIQzKJisUOzIpLQE_V&A%20Banquet%20Menu%204.26%20.pdf,https://www.vicandanthonys.com/private-dining-houston/ | https://www.opentable.com/private-dining/profile/vic-anthonys-steakhouse-houston,2026-09-12,Standing capacity stated as 250-400. The FAQ page lists Boardroom (12) / Wine Room (30) / Ballroom (200); the official April 2026 banquet menu PDF with room descriptions (used here) states max 16 / 30 (25 with A/V) / 180 seated.
Vic & Anthony's Steakhouse,"1510 Texas Ave, Houston, TX 77002",Downtown,https://www.vicandanthonys.com/private-dining-houston/,The Board Room,private,16,,,Paneled in hand-tooled Italian leather tiles | On-site audio/visual equipment | Valet parking,Private lunch $79/person; private dinner $99/person (incl. nonalcoholic beverages); $175 bartender staffing fee required for groups of 35+; menus exclude service charge and tax; prices subject to change,Katelynn Tejero,,(713) 228-1111,https://images.getbento.com/accounts/6416990472d31a0e805336f5e9b06eed/media/iOcdWIQzKJisUOzIpLQE_V&A%20Banquet%20Menu%204.26%20.pdf,https://www.vicandanthonys.com/private-dining-houston/ | https://www.opentable.com/private-dining/profile/vic-anthonys-steakhouse-houston,2026-09-12,FAQ page lists 12; official April 2026 banquet menu PDF states a maximum of 16 guests (used here). Standing capacity not published.
Vic & Anthony's Steakhouse,"1510 Texas Ave, Houston, TX 77002",Downtown,https://www.vicandanthonys.com/private-dining-houston/,The Wine Room,private,30,,,"View of 1,000+ bottle wine cellar | Rich mahogany wine cabinets | Austin stone flooring and arches | Vineyard mural | A/V presentation setup (25 guests with A/V, 30 without)",Private lunch $79/person; private dinner $99/person (incl. nonalcoholic beverages); $175 bartender staffing fee required for groups of 35+; menus exclude service charge and tax; prices subject to change,Katelynn Tejero,,(713) 228-1111,https://images.getbento.com/accounts/6416990472d31a0e805336f5e9b06eed/media/iOcdWIQzKJisUOzIpLQE_V&A%20Banquet%20Menu%204.26%20.pdf,https://www.vicandanthonys.com/private-dining-houston/ | https://www.opentable.com/private-dining/profile/vic-anthonys-steakhouse-houston,2026-09-12,"Capacity: up to 25 guests with audio/visual presentation, 30 without, per the official banquet menu PDF. Standing capacity not published."
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,Bayou City,private,,,,Live music nightly | Piano bar | Recently renovated private rooms with Houston-themed decor,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,https://media.eventective.com/736392.pdf,https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown | https://www.thepalm.com/location/the-palm-houston/ | https://www.papercitymag.com/restaurants/palm-restaurant-houston-steakhouse-reopens-greenstreet-tilman-fertitta/ | https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,"Largest of the four named first-floor private rooms; PaperCity names it the largest (includes Fertitta/Bush family mural). OpenTable lists four private bookable spaces (up to 52, 30, 10 and 10 guests; indoor, private) without mapping capacities to room names; names-to-capacities below are only those confirmed by sources."
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,Clutch City,private,,,,Live music nightly | Piano bar | Recently renovated private rooms with Houston-themed decor,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,https://media.eventective.com/736392.pdf,https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown | https://www.thepalm.com/location/the-palm-houston/ | https://www.papercitymag.com/restaurants/palm-restaurant-houston-steakhouse-reopens-greenstreet-tilman-fertitta/ | https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,"Houston Rockets-themed private room (first floor). OpenTable lists four private bookable spaces (up to 52, 30, 10 and 10 guests; indoor, private) without mapping capacities to room names; names-to-capacities below are only those confirmed by sources."
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,Space City,private,8,,,Live music nightly | Piano bar | Recently renovated private rooms with Houston-themed decor,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,https://media.eventective.com/736392.pdf,https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown | https://www.thepalm.com/location/the-palm-houston/ | https://www.papercitymag.com/restaurants/palm-restaurant-houston-steakhouse-reopens-greenstreet-tilman-fertitta/ | https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,"NASA-inspired private room; PaperCity states seating for eight guests. OpenTable lists four private bookable spaces (up to 52, 30, 10 and 10 guests; indoor, private) without mapping capacities to room names; names-to-capacities below are only those confirmed by sources."
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,The 41 Boardroom,private,,,,Live music nightly | Piano bar | Recently renovated private rooms with Houston-themed decor,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,https://media.eventective.com/736392.pdf,https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown | https://www.thepalm.com/location/the-palm-houston/ | https://www.papercitymag.com/restaurants/palm-restaurant-houston-steakhouse-reopens-greenstreet-tilman-fertitta/ | https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,"Homage to President George H.W. Bush (first floor). OpenTable lists four private bookable spaces (up to 52, 30, 10 and 10 guests; indoor, private) without mapping capacities to room names; names-to-capacities below are only those confirmed by sources."
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,1926 Room (second floor),private,,,,Live music nightly | Piano bar | Recently renovated private rooms with Houston-themed decor,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,https://media.eventective.com/736392.pdf,https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown | https://www.thepalm.com/location/the-palm-houston/ | https://www.papercitymag.com/restaurants/palm-restaurant-houston-steakhouse-reopens-greenstreet-tilman-fertitta/ | https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,Second-floor private room honoring the founders with original Palm NYC photos (per PaperCity); fifth private dining room per Tilman Fertitta site. Capacity not published.
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,Piano Table (baby grand),semi-private,6,,,Seated directly at the restaurant's baby grand piano | Live music,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,,https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,Table for six seated at the piano (per Tilman Fertitta site); no published room fee or minimum.
The Palm Houston,"1201 Fannin Street, Suite 129, Houston, TX 77002",Downtown (GreenStreet),https://www.opentable.ie/private-dining/profile/the-palm-houston-downtown,Round Booth (original Westheimer),semi-private,8,,,Refurbished original round booth from the Westheimer location,"No room rental fees or food and beverage minimums, per The Palm's private-dining brochure; sample events menu at $77/person (not Houston-specific; sample menu, prices subject to change). Brochure: https://media.eventective.com/736392.pdf",Jan Bonugli,,(713) 977-2544,,https://www.tilmanfertitta.com/featuring/palm-houston-downtown/,2026-09-12,Table for eight (per Tilman Fertitta site); no published room fee or minimum.
